35,8
36,18
37,19
38,18
39,17
40,20
41,9620
42,9583
43,10
44,17
45,17
46,19
47,22
48,19
49,20
50,12
51,17
52,14
53,20
54,17
55,12
56,15
57,15
58,10
59,14
60,16
61,16
62,17
63,18
64,12
65,14
66,14
67,19
68,13
69,12
70,17
71,13
72,16
73,16
74,14
75,13
76,10
77,16
78,13
79,11
80,16
81,15
82,11
83,17
84,11
85,12
86,13
87,11
88,12
89,20
90,15
91,16
92,13
93,18
94,22
95,15
96,18
97,11
98,10
99,21
100,14
101,20
102,9
103,17
104,14
105,20
106,12
107,13
108,14
109,16
110,15
111,20
112,14
113,14
114,13
115,7
