Prefix	Description
58.192.208.0/24	Silicon Lake Vocational & Technical College China
58.192.216.0/21	CHIEN-SHIUNG Institute of Technology China
58.192.224.0/21	jiuZhou Vocational and Technical College China
58.192.230.0/24	jiuZhou Vocational and Technical College China
58.192.232.0/21	Jianghai Polytechnic College China
58.192.240.0/21	Xuzhou College of Industrial Technology China
58.192.248.0/21	NanJing Communications Institute of Technology China
58.192.255.0/24	NanJing Communications Institute of Technology China
58.193.0.0/20	ChangZhou College Of Information Technology China
58.193.0.0/24	ChangZhou College Of Information Technology China
58.193.16.0/20	Changzhou Instiute of Mechatornic Technology China
58.193.32.0/21	Jiangsu Maritime Institute China
58.193.48.0/21	Journal of YanCheng Health Vocational & Technical College China
58.193.58.0/24	Yanhuang College of Professional Technical China
58.193.64.0/21	Suzhou Polytechnical Institute of China
58.193.72.0/22	Suzhou Polytechnical Institute of Agriculture China
58.193.80.0/20	China Education and Research Network China
58.193.80.0/24	Wuxi Institute of Arts & Technology China
58.193.88.0/21	Zilang Vocational College China
58.193.92.0/24	Zilang Vocational College China
58.193.96.0/20	Changzhou Institute Of Engineering Technology China
58.193.97.0/24	Changzhou Institute Of Engineering Technology China
58.193.112.0/20	China Education and Research Network China
58.193.113.0/24	Wuxi Institute of Commerce China
58.193.120.0/21	Wuxi South Ocean College China
58.193.128.0/20	Jiangsu Police Institute China
58.193.152.0/21	PLA University of Science and Technology China
58.193.160.0/20	Nantong University China
58.193.176.0/20	Nanjing Medical University China
58.193.192.0/20	TaiZhou Institute of Sci&Tech Nanjing University of Sci.&Tech. China
58.193.192.0/24	TaiZhou Institute of Sci&Tech Nanjing University of Sci.&Tech. China
58.193.208.0/21	Jiangsu Staff Medical University China
58.193.224.0/19	Nan Jing University China
58.194.0.0/21	Heilongjiang University China
58.194.8.0/23	Nanhua College of Industry and Commerce Personal Consumer China
58.194.10.0/23	Jiangsu Polytechnic University China
58.194.16.0/23	Jiangsu Polytechnic University China
58.194.24.0/21	Nanhua College of Industry and Commerce Personal Consumer China
58.194.32.0/19	Shenyang Agricultural University China
58.194.64.0/19	Shanghai Dianji University China
58.194.120.0/21	Harbin Medical University China
58.194.128.0/20	Xinhua College of Ningxia University China
58.194.160.0/19	Shandong University China
58.194.192.0/20	Broadband University Personal Consumer China
58.194.208.0/21	Broadband University Personal Consumer China
58.194.232.0/21	Dorm Network of Beijing Language and Culture University China
58.194.240.0/20	Dorm Network of Beijing Language and Culture University China
58.195.0.0/21	Hubei Institute of Education China
58.195.16.0/20	Broadband Network Engineering of Dormitory of Student in China
58.195.32.0/19	Jimei University China
58.195.80.0/23	Education Videoconferencing System China
58.195.128.0/23	The 2nd Hospital of Xi'An Jiaotong University China
58.195.136.0/21	Qingdao Agricultural College China
58.195.144.0/20	Qingdao Agricultural College China
58.195.160.0/20	Wuhan University Of Technology Personal Consumer China
58.196.0.0/15	China Education and Research Network China
58.196.128.0/19	China Education and Research Network China
58.196.160.0/20	China Education and Research Network China
58.196.176.0/24	China Education and Research Network China
58.196.177.0/24	China Education and Research Network China
58.196.178.0/24	China Education and Research Network China
58.196.192.0/19	China Education and Research Network China
58.196.224.0/20	China Education and Research Network China
58.197.0.0/19	China Education and Research Network China
58.197.32.0/24	China Education and Research Network China
58.197.33.0/24	China Education and Research Network China
58.198.0.0/15	China Education and Research Network China
58.198.0.0/20	Shanghai Institute Of Technology China
58.198.16.0/22	Shanghai Zhongqiao Professional & Technical College China
58.198.16.0/24	Shanghai Zhongqiao Professional & Technical College China
58.198.20.0/22	Shanghai Lida Polytechnic Institute China
58.198.20.0/24	Shanghai Lida Polytechnic Institute China
58.198.24.0/22	Shanghai Xing Jian College China
58.198.24.0/24	Shanghai Xing Jian College China
58.198.28.0/22	Shanghai Normal University Tianhua College China
58.198.32.0/22	Shanghai Institute of Health Sciences China
58.198.38.0/23	Shanghai Vocational College of Science and Technology China
58.198.41.0/24	Bank Of Communication China
58.198.43.0/24	Shanghai Technical Sports Institute China
58.198.44.0/24	Shanghai Minyuan Polytechnic Institute China
58.198.47.0/24	Huangpu Education Information Center China
58.198.48.0/20	Shanghai Business School China
58.198.64.0/18	Shanghai University China
58.198.128.0/19	Shanghai Ocean University China
58.198.160.0/20	Shanghai Ocean University China
58.198.176.0/20	East China Normal University China
58.198.224.0/19	Shanghai Institute of Foreigh Trade China
58.199.0.0/19	Jimei University China
58.199.32.0/20	Jimei University China
58.199.56.0/22	Xiamen Huaxia College China
58.199.64.0/19	Xiamen University Haiyun Campus China
58.199.96.0/19	Jimei University China
58.199.128.0/18	Shanghai University China
58.199.192.0/18	Xiamen University of Technology China
58.200.0.0/13	China Education and Research Network China
58.200.0.0/24	CERNET Corporation - ETS Project China
58.200.1.0/24	CERNET Corporation - ETS Project China
58.200.2.0/24	CERNET Corporation - ETS Project China
58.200.4.0/24	CERNET Corporation - ETS Project China
58.200.6.0/24	CERNET Corporation - ETS Project China
58.200.8.0/24	CERNET Corporation - ETS Project China
58.200.9.0/24	CERNET Corporation - ETS Project China
58.200.10.0/24	CERNET Corporation - ETS Project China
58.200.11.0/24	CERNET Corporation - ETS Project China
58.200.12.0/24	CERNET Corporation - ETS Project China
58.200.14.0/24	CERNET Corporation - ETS Project China
58.200.15.0/24	CERNET Corporation - ETS Project China
58.200.16.0/24	CERNET Corporation - ETS Project China
58.200.17.0/24	CERNET Corporation - ETS Project China
58.200.20.0/24	CERNET Corporation - ETS Project China
58.200.21.0/24	CERNET Corporation - ETS Project China
58.200.22.0/24	CERNET Corporation - ETS Project China
58.200.24.0/24	CERNET Corporation - ETS Project China
58.200.25.0/24	CERNET Corporation - ETS Project China
58.200.26.0/24	CERNET Corporation - ETS Project China
58.200.27.0/24	CERNET Corporation - ETS Project China
58.200.28.0/24	CERNET Corporation - ETS Project China
58.200.29.0/24	CERNET Corporation - ETS Project China
58.200.65.0/24	CERNET Corporation - ETS Project China
58.200.66.0/24	CERNET Corporation - ETS Project China
58.200.68.0/24	CERNET Corporation - ETS Project China
58.200.69.0/24	CERNET Corporation - ETS Project China
58.200.71.0/24	CERNET Corporation - ETS Project China
58.200.72.0/24	CERNET Corporation - ETS Project China
58.200.73.0/24	CERNET Corporation - ETS Project China
58.200.74.0/24	CERNET Corporation - ETS Project China
58.200.75.0/24	CERNET Corporation - ETS Project China
58.200.77.0/24	CERNET Corporation - ETS Project China
58.200.79.0/24	CERNET Corporation - ETS Project China
58.200.81.0/24	CERNET Corporation - ETS Project China
58.200.87.0/24	CERNET Corporation - ETS Project China
58.200.88.0/24	CERNET Corporation - ETS Project China
58.200.91.0/24	CERNET Corporation - ETS Project China
58.200.93.0/24	CERNET Corporation - ETS Project China
58.200.95.0/24	CERNET Corporation - ETS Project China
58.200.97.0/24	CERNET Corporation - ETS Project China
58.200.98.0/24	CERNET Corporation - ETS Project China
58.200.100.0/24	CERNET Corporation - ETS Project China
58.200.102.0/23	CERNET Corporation - ETS Project China
58.200.105.0/24	CERNET Corporation - ETS Project China
58.200.106.0/24	CERNET Corporation - ETS Project China
58.200.108.0/24	CERNET Corporation - ETS Project China
58.200.109.0/24	CERNET Corporation - ETS Project China
58.200.111.0/24	CERNET Corporation - ETS Project China
58.200.112.0/24	CERNET Corporation - ETS Project China
58.200.113.0/24	CERNET Corporation - ETS Project China
58.200.114.0/24	CERNET Corporation - ETS Project China
58.200.118.0/24	CERNET Corporation - ETS Project China
58.200.119.0/24	CERNET Corporation - ETS Project China
58.200.125.0/24	CERNET Corporation - ETS Project China
58.200.128.0/17	China Education and Research Network China
58.200.253.0/24	China Education and Research Network China
58.205.220.0/22	CERNET~{H+9z7V2<J=J}>]VPPDOnD?~}(~{Nd::~}) China
58.205.224.0/19	CERNET WLAN Campus Project at HUST China
58.206.96.0/19	CERNET WLAN Campus Project at Xi'an Jiaotong University China
58.206.160.0/19	CERNET WLAN Campus Project at Lanzhou University China
58.206.192.0/19	WLAN Campus Project---Zhejiang University China
58.207.0.0/16	China Education and Research Network China
58.207.0.0/17	China Education and Research Network China
58.207.8.0/21	CERNET ONLINE Information Technology Ltd. China
58.207.16.0/20	CERNET ONLINE Information Technology Ltd. China
58.207.30.0/24	CERNET ONLINE Information Technology Ltd. China
58.207.32.0/19	China Education and Research Network China
58.207.64.0/18	China Education and Research Network China
58.207.128.0/17	China Education and Research Network China
58.207.254.0/24	CERNET ONLINE Information Technology Ltd. China
58.207.255.0/24	CERNET ONLINE Information Technology Ltd. China
59.64.0.0/12	Asia Pacific Network Information Centre China
59.64.0.0/14	China Education and Research Network China
59.64.0.0/20	Northern Jiaotong University China
59.64.16.0/24	Beijing Normal appertain high school China
59.64.24.0/21	National Academy of Education Administration China
59.64.32.0/19	Beijing Normal University China
59.64.64.0/20	Beijing Information Technology Institute China
59.64.80.0/20	Beijing Technology and Business Univerdity China
59.64.80.0/24	Beijing Technology and Business Univerdity China
59.64.81.0/24	Beijing Technology and Business Univerdity China
59.64.96.0/20	Central University of Finance and Economic China
59.64.120.0/22	Shougang Institute of Technology China
59.64.124.0/22	Beijing Education Examinations Authority China
59.64.128.0/17	China Education and Research Network China
59.65.0.0/19	Beijing Foreign Studies University China
59.65.32.0/19	Capital University of Economics and Business China
59.65.64.0/19	Uiniversity of International Business and Economics China
59.65.96.0/20	Uiniversity of International Business and Economics China
59.65.112.0/20	Central University of Finance and Economic China
59.65.128.0/20	Central Conservatory of Music China
59.65.144.0/20	Capical Institute of Physical Education China
59.65.160.0/19	China Education and Research Network China
59.65.196.0/22	The National Academy of Chinaese Theatre Arts China
59.65.224.0/20	North China Electric Power University(Beijing) China
59.66.0.0/16	China Education and Research Network China
59.66.0.0/17	China Education and Research Network China
59.66.128.0/17	Zijing Campus 2nd Phase, Tsinghua University China
59.66.250.0/24	Zijing Campus 2nd Phase, Tsinghua University China
59.67.0.0/19	TianJin University of Science & Technology China
59.67.0.0/21	TianJin University of Science & Technology China
59.67.1.0/24	TianJin University of Science & Technology China
59.67.32.0/20	Tianjin University China
59.67.48.0/21	Sino-German Vocational Technology Institute China
59.67.64.0/19	Tianjin Normal University China
59.67.96.0/20	TianJin Polytechnic University China
59.67.112.0/20	Tianjin University of Commerce China
59.67.128.0/20	Tianjin Medical University China
59.67.133.0/24	Tianjin Medical University China
59.67.144.0/21	Tianjin University of Technology China
59.67.152.0/22	Tianjin University of Technology China
59.67.156.0/23	Tianjin University of Technology China
59.67.158.0/24	Tianjin University of Technology China
59.67.159.0/24	Tianjin University of Technology China
59.67.164.0/22	Tianjin Vocational Technical College of Industry Commerce China
59.67.168.0/21	Tianjin University RenAi College China
59.67.192.0/24	Zhangjiakou Educational College China
59.67.193.0/24	Hebei Software Institute China
59.67.194.0/23	Dongfang Vocational Academy of Art China
59.67.200.0/23	shijiazhuang Information Engineering Vocational China
59.67.206.0/23	BaoDing Electric Power Vocational & Technology China
59.67.208.0/21	Tangshan Industrial Vocational Technical College China
59.67.216.0/22	Hebei Physical Education College China
59.67.224.0/20	North China Electric Power University China
59.67.240.0/21	North China Electric Power University China
59.67.248.0/24	Hebei Radio and TV University China
59.67.249.0/24	Hebei Radio and TV University China
59.67.250.0/23	Hebei Radio and TV University China
59.67.252.0/22	Hebei Radio and TV University China
59.68.0.0/18	South-Central University for Nationalities China
59.68.64.0/20	Hubei University China
59.68.80.0/22	South-Central University for Nationalities~{!/~} College of China
59.68.84.0/22	Huangshi Institute of Technology China
59.68.84.0/24	Huangshi Institute of Technology China
59.68.95.0/24	Zhongnan University of Economics and Law & Wuhan College China
59.68.96.0/20	China
59.68.96.0/24	China
59.68.98.0/24	Hubei Institute of Fine Arts China
59.68.128.0/20	Huazhong University of Science and Technology Wuchang Branch China
59.68.160.0/21	Hubei Police College China
59.68.176.0/20	Wuhan University of Science and Technology China
59.68.192.0/22	Hubei Automotive Industrial Institute China
59.68.224.0/22	Xiangfan Vocational and Technical College China
59.68.228.0/22	Hankou Branch of Central China Normal University China
59.68.240.0/20	Wuhan Polytechnic University China
59.69.0.0/19	Hubei University of Economics China
59.69.32.0/19	Huazhong Agricultural University China
59.69.64.0/18	Wuhan University of Technology China
59.69.64.0/20	Wuhan University of Technology China
59.69.80.0/20	Wuhan University of Technology China
59.69.80.0/21	Wuhan University of Technology China
59.69.84.0/24	Wuhan University of Technology China
59.69.85.0/24	Wuhan University of Technology China
59.69.88.0/21	Wuhan University of Technology China
59.69.96.0/21	Wuhan University of Technology China
59.69.104.0/21	Wuhan University of Technology China
59.69.104.0/22	Wuhan University of Technology China
59.69.108.0/22	Wuhan University of Technology China
59.69.112.0/20	Wuhan University of Technology China
59.69.128.0/19	Nanyang Institute of Technology China
59.69.160.0/19	Henan Institute of Science and Technology China
59.69.208.0/20	Phsical Education College of Zhengzhou University China
59.70.8.0/22	San Quan Institute of Xinxiang Medical College China
59.70.13.0/24	ZhengZhou Vocational College of Finance & Taxation China
59.70.14.0/24	Electrical Vocation College of Xuchang China
59.70.16.0/20	HuangHe Science & Technology University China
59.70.32.0/20	Jiaozuo Teacher's College China
59.70.36.0/24	Jiaozuo Teacher's College China
59.70.48.0/20	Henan Agriculture University China
59.70.64.0/19	Henan Normal University China
59.70.80.0/20	Henan Normal University China
59.70.96.0/20	Pingdingshan University(Pingdingshan Normal College) China
59.70.112.0/20	Cheng Gong College Of Henan Finance & Economics Institute China
59.70.128.0/19	Zhengzhou Institute of Light Industry China
59.70.135.0/24	Zhengzhou Institute of Light Industry China
59.70.160.0/21	College of Information & bussiness ZhongYuan Institute of TechnologY China
59.70.168.0/21	Huayu College of Henan Agricultural University China
59.70.176.0/20	Zhengzhou Railway Occupation Eechnology College China
59.70.192.0/20	Xuchang Vocation Technology College China
59.70.224.0/19	Zhengzhou University China
59.71.0.0/19	Hunan Institute of Engineering China
59.71.32.0/20	Jishou University China
59.71.48.0/22	Hunan University of Science & Engineering China
59.71.64.0/19	Hunan University China
59.71.96.0/23	Hunan Finance and Economic College China
59.71.106.0/23	Yueyang Higher Vocational and Technical College China
59.71.116.0/23	Changsha Medical College China
59.71.128.0/17	China University of Geosciences (Wuhan) China
59.72.0.0/17	Jilin University China
59.72.0.0/24	Jilin University China
59.72.31.0/24	Jilin University China
59.72.42.0/24	China
59.72.43.0/24	Jilin University China
59.72.66.0/24	Jilin University China
59.72.128.0/18	Beihua University China
59.72.192.0/19	Northeast China Institute of Electric Power Engineering China
59.72.192.0/24	Northeast China Institute of Electric Power Engineering China
59.72.224.0/21	Changchun University China
59.72.224.0/24	Changchun University China
59.73.16.0/21	Shenyang Institute of Engineering China
59.73.64.0/18	Anshan University of Science and Technology China
59.73.128.0/19	Shenyang Institute of Aeronautical Engineering China
59.73.160.0/21	Shenyang Institute of Aeronautical Engineering China
59.73.168.0/21	China
59.73.192.0/19	Northeast Normal University China
59.74.0.0/19	Xi'an University of Architecture and Technology China
59.74.32.0/24	Xi'an Eurasia University China
59.74.36.0/23	Xi'an Autotechnology College China
59.74.39.0/24	Air Force Engineering University China
59.74.40.0/23	Shaanxi Police Profession College China
59.74.43.0/24	XI'AN Jiaotong University City College China
59.74.48.0/20	Ankang College China
59.74.50.0/24	Ankang College China
59.74.55.0/24	Ankang College China
59.74.56.0/24	Ankang College China
59.74.57.0/24	China
59.74.58.0/24	China
59.74.61.0/24	Ankang College China
59.74.63.0/24	Ankang College China
59.74.64.0/19	XI'AN International Studies University China
59.74.96.0/20	xi'an Aerotechnical College China
59.74.112.0/20	Xian International University China
59.74.128.0/20	Chang'an University China
59.74.160.0/19	Xi'an University Of Science and Technology China
59.74.192.0/20	Lanzhou Commercial college China
59.74.208.0/20	Lanzhou Commercial college China
59.74.224.0/21	Longdong University China
59.74.232.0/21	Longdong University China
59.75.2.0/23	Shaanxi College of Communication Technology China
59.75.8.0/21	Xi'an Fanyi University China
59.75.16.0/20	Shangluo University China
59.75.32.0/20	Xijing University China
59.75.64.0/22	Shaanxi Institute of Vocational and Technical China
59.75.68.0/22	Shaanxi College of Finance and Economics Technology China
59.75.72.0/22	Xi'an Siyuan College China
59.75.80.0/20	Tibet Institute for Nationalities China
59.75.96.0/21	Yulin University China
59.75.104.0/21	Shanxi International Trade & Commerce Vocational China
59.75.112.0/21	Xi'an Medical University China
59.75.120.0/21	Xi'an University of Arts and Science China
59.75.128.0/21	Xinjiang University China
59.75.142.0/24	Xinjiang Applied Vocational Technical China
59.75.143.0/24	China Education and Research Network China
59.75.144.0/21	Shihezi Scientific College of Technology China
59.75.144.0/24	Shihezi Scientific College of Technology China
59.75.145.0/24	Shihezi Scientific College of Technology China
59.75.149.0/24	Shihezi Scientific College of Technology China
59.75.160.0/20	Shihezi Institute of Technology China
59.75.176.0/21	Xinjiang Vocational University China
59.75.176.0/24	Xinjiang Vocational University China
59.75.182.0/24	Xinjiang Vocational University China
59.75.183.0/24	Xinjiang Vocational University China
59.75.192.0/21	Qinghai Professional Technical Health College China
59.75.192.0/24	Qinghai Professional Technical Health College China
59.75.216.0/21	Qinghai Normal University China
59.75.224.0/20	Xinjiang Normal University China
59.75.240.0/21	Xinjiang Normal University China
59.76.41.0/24	Jiuquan Industry and Polytechnic College China
59.76.43.0/24	China Education and Research Network China
59.76.48.0/20	Longdong University China
59.76.64.0/22	Gansu Lianhe University China
59.76.64.0/24	Gansu Lianhe University China
59.76.65.0/24	Gansu Lianhe University China
59.76.66.0/24	Gansu Lianhe University China
59.76.67.0/24	Gansu Lianhe University China
59.76.76.0/22	Gansu Iron and Steel Vocational Technical College China
59.76.80.0/21	Lanzhou Vocational Technical College China
59.76.88.0/21	Lanzhou Polytechnic College China
59.76.96.0/21	Lanzhou Vocational Technical College China
59.76.112.0/20	Gansu Forestry Technological College China
59.76.128.0/20	Lanzhou Resources & Envirsonment Voc-Tech College China
59.76.144.0/20	Lanzhou Petrochemical College of Vocational Technology China
59.76.187.0/24	Ningxia Industrial and vocational collage China
59.76.188.0/22	Ningxia Economics & Trade Vocational and Technical College China
59.76.192.0/21	Professional institute of science and technology of Yinchuan China
59.76.200.0/21	Professional institute of science and technology of Yinchuan China
59.76.208.0/21	Ninxia Constrution Vocationail and Technical College China
59.76.224.0/20	Ningxia Medical College China
59.77.0.0/16	China Education and Research Network China
59.77.0.0/18	Xiamen University Zhangzhou Campus China
59.77.0.0/24	Xiamen University Zhangzhou Campus China
59.77.21.0/24	Xiamen University Zhangzhou Campus China
59.77.25.0/24	Xiamen University Zhangzhou Campus China
59.77.32.0/24	Xiamen University Zhangzhou Campus China
59.77.33.0/24	Xiamen University Zhangzhou Campus China
59.77.64.0/20	Longyan University China
59.77.80.0/20	CERNET~{;*6+DO5XGxUDV]J&76Q'T:~}(~{T:P#~})~{=Z5c~} China
59.77.96.0/24	Xiamen City Vocational College China
59.77.100.0/22	Xiamen Software Vocational College China
59.77.108.0/22	Tenfu Tea College China
59.77.112.0/22	Xiamen Medical Academy China
59.77.128.0/21	Fuzhou University China
59.77.136.0/21	Fujian University of Technology China
59.77.144.0/20	Fujian Commerce College China
59.77.160.0/22	FuJian College Of Financial Technology China
59.77.176.0/20	Putian University China
59.77.192.0/19	Fujian Normal University China
59.77.224.0/19	Fuzhou University China
59.78.0.0/16	China Education and Research Network China
59.78.0.0/18	Shanghai JiaoTong University China
59.78.64.0/20	Xianda College of Economics & Humanities, Shanghai China
59.78.64.0/24	Xianda College of Economics & Humanities, Shanghai China
59.78.82.0/23	Fudan University Shanghai Institute of Visual Art China
59.78.84.0/23	Shanghai Vocational and Technical College of Agriculture China
59.78.85.0/24	China
59.78.87.0/24	Shanghai Normal University China
59.78.88.0/21	East China University of Science Technology China
59.78.96.0/20	East China University of Science Technology China
59.78.112.0/20	Shanghai Jiao Tong University School of Medicine China
59.78.118.0/24	Shanghai Jiao Tong University School of Medicine China
59.78.128.0/19	Shanghai Teachers University China
59.78.160.0/21	Shanghai Institute of Foreigh Trade China
59.78.171.0/24	Shanghai Tech University China
59.78.176.0/20	East China Normal University China
59.78.192.0/21	East China Normal University China
59.78.200.0/22	Shanghai Maritime Academy China
59.79.0.0/16	China Education and Research Network China
59.79.108.0/24	Shanghai Trade Union Polytechnic China
59.79.112.0/23	Liaoning Finance Vocational College China
59.79.112.0/24	Liaoning Finance Vocational College China
59.79.116.0/22	Shanghai Publishing and Printing College China
59.79.120.0/22	Shanghai Jianfeng Vocational College China
59.79.120.0/24	Shanghai Jianfeng Vocational College China
59.79.125.0/24	Shanghai Supercomputer Center China
59.79.127.0/24	Shanghai NewYork University China
59.79.128.0/24	Zhejiang Police Vocational Academy China
59.79.129.0/24	Zhejiang Municipal Educational Examinations China
59.79.130.0/23	Lishui University China
59.79.132.0/22	Zhejiang Shuren University China
59.79.136.0/22	Zhejiang Medical College China
59.79.140.0/22	Zhejiang Ocean University China
59.79.144.0/22	Taizhou Vocational and Technology College China
59.79.150.0/23	Quzhou College China
59.79.152.0/22	Ningbo Dahongying Vocational and Technical College China
59.79.156.0/22	Zhejiang Education Institute China
59.79.162.0/24	Tourism College of ZheJiang China
59.79.164.0/22	Wenzhou Vocational & Technical College China
59.79.168.0/21	Wenzhou Medical College China
59.79.176.0/20	Wenzhou Medical College China
59.79.194.0/24	Quanzhou Institute of Technology China
59.79.196.0/22	Fuzhou Polytechnic China
59.79.208.0/23	Fujian Polytechnic of Information Technology China
59.79.224.0/19	Fujian Agricultural and Forestry University China
101.4.0.0/14	China Education and Research Network China
101.4.0.0/20	China Central Radio and TV University China
101.4.16.0/20	Beijing University of Posts & Telcommucations China
