Prefix	Description
118.203.120.0/21	North East Forest University China
118.203.128.0/20	Daqing Petroleum Institute China
118.203.144.0/21	Daqing Petroleum Institute China
118.203.152.0/21	Jia Mu Si University China
118.203.160.0/20	Jia Mu Si University China
118.203.176.0/20	Harbin Engineering University China
118.203.192.0/22	Harbin Commerce Univesity Guangsha College China
118.203.196.0/22	Heilongjing Education Management Information Center China
118.203.200.0/21	Harbin Deqiang College Of Commerce China
118.203.208.0/20	Harbin Deqiang College Of Commerce China
118.228.0.0/15	China Education and Research Network China
118.228.40.0/21	Beijing Foreign Studies University China
118.228.48.0/24	China Construction Bank Beijing Data Centre China
118.228.49.0/24	China Construction Bank Beijing Data Centre China
118.228.150.0/24	Chisa Technologies (Pty) Ltd. China
118.228.160.0/19	Beijing Forestry University China
118.228.192.0/19	China University of Petroleum China
118.228.224.0/20	China University Mining &Technology of Beijing China
118.228.244.0/23	Higher Education Evaluation Center of The Ministry of China
118.228.248.0/21	CERNET BUPT China
118.229.0.0/21	Tsinghua University Teachers residential Areas China
118.229.8.0/21	Tsinghua University Teachers residential Areas China
118.229.16.0/20	Tsinghua University Teachers residential Areas China
118.229.96.0/19	Beijing Institute of Graphic Communication China
118.229.128.0/17	Beijing University of Posts & Telcommucations China
118.230.0.0/16	China Education and Research Network China
118.230.0.0/18	Inner Mongolia Normal University China
118.230.64.0/19	Inner Mongolia Normal University China
118.230.128.0/19	The Notrh China Mining College China
118.230.160.0/21	North China Institute Of Astronautic Engineering China
118.230.184.0/21	Hebei University of Engineering China
118.230.192.0/20	Beijing Social Administration Vocational College China
118.230.208.0/20	Handan College China
118.230.224.0/19	North China Electric Power University (Baoding) China
120.94.0.0/15	Asia Pacific Network Information Centre China
120.94.0.0/16	China Education and Research Network China
120.94.16.0/24	Leshan Vocational & Technical College China
120.94.24.0/22	Schuan Preschool Educators College China
120.94.64.0/19	China West Normal University China
120.94.128.0/18	China
120.94.216.0/21	Chengdu University China
120.94.224.0/21	Sichuan University of Arts and Science China
120.94.232.0/21	Chengdu Institute Of Physical Education China
120.94.240.0/22	Chengdu Institute Of Physical Education China
120.94.244.0/22	Chengdu Institute Of Physical Education China
120.94.248.0/21	Chengdu Institute Of Physical Education China
120.95.0.0/16	China Education and Research Network China
120.95.0.0/18	Northwest University China
120.95.72.0/23	China Education and Research Network China
120.95.75.0/24	Shaanxi Industrial Vocational and Technical College China
120.95.80.0/20	Tibet Institute for Nationalities China
120.95.96.0/20	Yanan University China
120.95.112.0/20	Yanan University China
120.95.128.0/19	Northwest Sci-Tech University of Agriculture and China
120.95.160.0/19	Northwest Sci-Tech University of Agriculture and China
120.95.208.0/20	Xinjiang Polytechnic College China
120.95.224.0/20	Shihezi University China
120.95.240.0/20	Xinjiang University China
121.48.0.0/15	China Education and Research Network China
121.48.0.0/20	Sichuan Police College China
121.48.17.0/24	Sichuan College of Traditional Chinese Medicine China
121.48.19.0/24	Dazhou Vocational and Technical College China
121.48.20.0/22	Sichuan Water Conservancy Vocational College China
121.48.24.0/22	Sichuan Cultural Commumication Vocational College China
121.48.24.0/23	Sichuan Cultural Commumication Vocational College China
121.48.26.0/23	Sichuan Cultural Commumication Vocational College China
121.48.28.0/23	Chengdu Vocational Technology College China
121.48.30.0/24	Sichuan Technology and business College China
121.48.31.0/24	Neijiang Vocational and Technical College China
121.48.32.0/22	Sichuan Top Vocational Institute of Information China
121.48.38.0/24	Guangan Vocational and Technical College China
121.48.39.0/24	Sichuan Vocational College of Cultural Industries China
121.48.40.0/21	Sichuan Chemicl Technial College China
121.48.48.0/20	Luzhou Vocational Technical College China
121.48.64.0/20	Xichang College China
121.48.80.0/21	Xichang College China
121.48.88.0/22	Sichuan Conservatory of Music China
121.48.93.0/24	Sichuan Posts and Telecommunications College China
121.48.94.0/24	Aba Teachers College China
121.48.95.0/24	Chengdu Vocational College Of Agricultural Science And China
121.48.96.0/20	Sichuan Pivotpoint College China
121.48.112.0/24	Sichuan Business Vocational College China
121.48.113.0/24	Yibin Vocational and Technical College China
121.48.114.0/24	Department of Education of Sichuan Province China
121.48.120.0/21	Kangding Nationality Teacher's College China
121.48.128.0/20	Sichuan Vocational and Technical College of China
121.48.144.0/22	Sichuan Judicial and Police Officers Professional China
121.48.152.0/21	University of Electronic Science and Technology of China China
121.48.160.0/20	University of Electronic Science and Technology of China China
121.48.176.0/20	Southwest Jiaotong University China
121.48.192.0/19	Sichuan University China
121.48.224.0/20	Sichuan University China
121.48.240.0/20	Sichuan University China
121.49.0.0/22	Chongqing Vocational Institute of Engineering China
121.49.0.0/24	Chongqing Vocational Institute of Engineering China
121.49.16.0/20	Chongqing Business Vocational College China
121.49.32.0/21	Chongqing Business Vocational College China
121.49.64.0/18	UESTC at Qingshuihe China
121.49.128.0/24	SiMao Normal Collage China
121.49.153.0/24	Lincang Teachers College China
121.49.154.0/24	China Education and Research Network China
121.49.160.0/19	Kunming University of Medical Sciences China
121.49.192.0/24	Qianxinan Nationality Vocational and Technical College China
121.49.196.0/24	GuiYang Nursing Vocational College China
121.49.197.0/24	Guizhou Teachers College China
121.49.198.0/24	Zunyi Medical And Pharmaceutical College China
121.49.200.0/21	Guizhou Institute Of Finannce & Economics China
121.52.160.0/19	Tsinghua Science Park Internet Data Center China
121.192.0.0/14	Asia Pacific Network Information Centre China
121.192.0.0/15	Asia Pacific Network Information Centre China
121.192.0.0/16	China Education and Research Network China
121.192.0.0/24	University of Nottingham-Ningbo, China China
121.192.2.0/24	Taizhou Vocational College Of Science and Technology China
121.192.3.0/24	Zhejiang Tongji Vocational College Of Science and China
121.192.4.0/22	Zhejiang Financial Professional College China
121.192.8.0/24	Wenzhou Vocational College of Science & Technology China
121.192.9.0/24	Yiwu Industrial and Commercial College China
121.192.11.0/24	Huzhou Vocational Technology College China
121.192.12.0/24	Zhejiang College Of Construction China
121.192.13.0/24	Zhejiang Hengdian College of Movie&Televison China
121.192.16.0/21	Shaoxing College Of Arts and Sciences China
121.192.24.0/22	Zhejiang University City College China
121.192.30.0/23	Shaoxing Yuexiu Foreign Languages College of Vocational China
121.192.32.0/22	Ningbo Polytechnic China
121.192.36.0/22	Zhejiang Textile & Fashion College China
121.192.40.0/22	Tongji Zhejiang College China
121.192.44.0/22	ShangHai University Of Finance And Economics ZheJiang China
121.192.48.0/23	Zhejiang Automobile Technology College China
121.192.50.0/23	Zhejiang Police College China
121.192.56.0/22	Zhejiang Forestry University China
121.192.60.0/22	Zhejiang University of Finance & Economics Dongfang College China
121.192.64.0/20	Hangzhou Vocational & Technical College China
121.192.129.0/24	Jiangxi manufacture Industry & Trade Polytechnic China
121.192.130.0/23	Nanchang Teachers College China
121.192.132.0/24	Jingdezhen Comprehensive College China
121.192.134.0/24	JiangXi College Of Foreign Studies China
121.192.137.0/24	JiangXi People's Police College All Rights Reserved China
121.192.138.0/24	Jiangxi Tellhow Animation College China
121.192.160.0/19	Xiamen University Zhangzhou Campus China
121.192.192.0/18	Jimei University China
121.193.0.0/16	China Education and Research Network China
121.193.64.0/20	Inner Mongolia Finance and Economics College China
121.193.69.0/24	Inner Mongolia Finance and Economics College China
121.193.80.0/20	Inner Mongolia National College China
121.193.128.0/20	Tianjin University China
121.193.144.0/21	Tianjin University of Finance and Economics China
121.193.192.0/20	Hebei Univ. Of Science and Technology China
121.193.208.0/21	Hebei Univ. Of Science and Technology China
121.193.216.0/23	HeBei Vocational Art College China
121.193.221.0/24	Shijiazhuang Vocational College of Scientific and China
121.193.222.0/24	Beijing University of Chinese Medicine Dongfang College China
121.193.224.0/20	Hebei Institute of Architectural Science and Technology China
121.193.240.0/21	Hebei Institute of Architectural Science and Technology China
121.193.248.0/21	Hebei Univ. Of Science and Technology China
121.194.0.0/15	China Education and Research Network China
121.194.16.0/20	Beijing Sport University China
121.194.32.0/20	Beijing Institute Of Mechinery China
121.194.48.0/20	Northern Jiaotong University China
121.194.64.0/20	North China University of Technology China
121.194.80.0/21	China University of Geosciences(BeiJing) China
121.194.88.0/22	China University of Geosciences(BeiJing) China
121.194.92.0/22	China University of Geosciences(BeiJing) China
121.194.96.0/20	Central University of Finance and Economic China
121.194.112.0/20	North China Electric Power University(Beijing) China
121.194.144.0/20	Central University of Finance and Economic China
121.194.176.0/20	China Women's University China
121.194.192.0/19	Chinese People's Public Security University China
121.194.224.0/19	China
121.195.0.0/22	JiaHua Institute Of Beijing Technology & Business University China
121.195.12.0/23	Beijing Vocational College of Labour and Social Security China
121.195.14.0/23	Center of Science and Technology Development Ministry of China
121.195.16.0/20	Beijing Forestry University China
121.195.32.0/19	China University Mining & Technology of Beijing China
121.195.96.0/20	China University of Political Science and Law China
121.195.112.0/23	University of Chinese Academy of Sciences China
121.195.114.0/24	University of Chinese Academy of Sciences China
121.195.128.0/19	Beijing University of Chemistry Technology China
121.195.160.0/20	North China Electric Power University(Beijing) China
121.195.176.0/22	Guangzhou NetEase Computer System Company (Beijing) China
121.195.180.0/22	Beijing Royal School China
121.195.186.0/24	University of Chinese Academy of Sciences China
121.195.188.0/23	Peking University China
121.195.191.0/24	China Education and Research Network China
121.195.192.0/19	Hebei Univ. Of Science and Technology China
121.195.224.0/20	Central Institute for Correctional Police China
121.195.240.0/20	Institute Of Disaster Prevention Science And China
121.248.0.0/14	China Education and Research Network China
121.248.0.0/20	Southeast University China
121.248.16.0/20	Southeast University China
121.248.48.0/20	Southeast University China
121.248.60.0/24	Southeast University China
121.248.64.0/21	Jiangsu Polytechnic College of Agriculture Forestry China
121.248.72.0/21	SuQian College China
121.248.80.0/20	Nantong University China
121.248.96.0/20	China University of Mining and Technology China
121.248.112.0/21	Lianyungang Technical College China
121.248.120.0/21	DengYun College of Science and Technology China
121.248.128.0/19	Nanjing Forestry University China
121.248.160.0/21	Jiangsu Animal Husbandry & Veterinary College China
121.248.168.0/21	Nanjing Radio and TV University China
121.248.176.0/21	Nanjing Institute of Technology China
121.248.184.0/21	Hohai University,Changzhou Campus China
121.248.192.0/20	Hohai University China
121.248.208.0/20	Jiangsu University China
121.248.224.0/19	Jiangnan University China
121.249.0.0/20	Southeast University China
121.249.16.0/20	Southeast University China
121.249.32.0/20	Yangzhou College of Industrial Technology China
121.249.48.0/22	Yangzhou College of Industrial Technology China
121.249.128.0/20	Taishan Medical College China
121.249.172.0/22	Shandong Youth Executive Cadre's College China
121.249.192.0/20	Ocean University of China China
121.249.208.0/22	Ocean University of China China
121.249.212.0/23	Ocean University of China China
121.249.214.0/23	Ocean University of China China
121.249.216.0/21	Ocean University of China China
121.249.224.0/20	Qingdao City Department of Education China
121.250.0.0/15	China Education and Research Network China
121.250.0.0/20	Qufu Normal University China
121.250.16.0/21	Shandong College of Arts China
121.250.18.0/24	Shandong College of Arts China
121.250.24.0/21	ShanDong JiaoTong University China
121.250.32.0/20	ShanDong Institute of Light Industy China
121.250.48.0/23	Navy Aeronautical Engineering Institute China
121.250.50.0/24	Shandong Province Education and Research Network China
121.250.56.0/21	Jinan Engineering Vocational Technical College China
121.250.64.0/21	Shandong University of Traditional Chinese Medicine China
121.250.72.0/21	Shandong University of Traditional Chinese Medicine China
121.250.80.0/21	Shandong Industrial Vocational College China
121.250.88.0/23	DeZhou Vocational And Technical College China
121.250.96.0/19	Linyi Normal University China
121.250.144.0/20	WeiFang Medical University China
121.250.160.0/19	Zaozhuang University China
121.250.192.0/20	Shandong Business Institute China
121.250.208.0/20	Shandong University China
121.250.208.0/21	China
121.250.216.0/21	China
121.250.224.0/21	Qilu Software College China
121.250.232.0/23	Shandong Police College China
121.250.234.0/24	Shandong Police College China
121.250.240.0/20	RiZhao Normal University China
121.251.0.0/20	Huainan United University China
121.251.0.0/24	Huainan United University China
121.251.16.0/21	Hefei University of Technology China
121.251.24.0/23	AnHui Industry and Commerce College China
121.251.26.0/23	AnHui Audit College China
121.251.30.0/23	An Qing Medical College China
121.251.44.0/23	HuaiBei Vocational & Technical College China
121.251.48.0/23	Anhui Technical College Of Mechanical and Electrical China
121.251.50.0/23	Bozhou Teachers College China
121.251.56.0/23	Maanshan Technology College China
121.251.64.0/20	Anhui University of Science and Technology China
121.251.88.0/21	Hohai University Wentian College China
121.251.132.0/22	Shandong Medical College China
121.251.136.0/21	Ocean University Of China Qingdao College China
121.251.144.0/20	YanTai University of CERNET Broadband China
121.251.160.0/20	Shandong University of Finance China
121.251.176.0/20	ShanDong College of Traditional Chinese Medicine China
121.251.192.0/20	China Agriculture University Yantai China
121.251.208.0/21	Qingdao Binhai University China
121.251.216.0/21	Qingdao Ocean University Broad Band Network China
121.251.224.0/20	Ocean University of China China
121.251.232.0/24	Ocean University of China China
121.251.233.0/24	Ocean University of China China
121.251.234.0/24	Ocean University of China China
122.204.0.0/14	China Education and Research Network China
122.204.0.0/19	Jianghan University China
122.204.40.0/23	Wuhan Technical College Of Communications China
122.204.42.0/23	The College of Post and Telecommunication of WIT China
122.204.42.0/24	The College of Post and Telecommunication of WIT China
122.204.46.0/24	Edong Institute of Vocation & Technology China
122.204.48.0/20	China
122.204.64.0/19	Wuhan University of Science and Technology China
122.204.96.0/21	Xiangfan Vocational and Technology College China
122.204.112.0/20	Huanggang Polytechnic University China
122.204.128.0/20	Central China Normal University China
122.204.144.0/20	Central China Normal University China
122.204.160.0/20	Central China Normal University China
122.204.176.0/20	Central China Normal University China
122.204.192.0/19	Hubei University China
122.204.222.0/24	Hubei University China
122.204.223.0/24	Hubei University China
122.204.224.0/21	Hubei University of Police China
122.204.232.0/23	Xianning Vocational Technical College China
122.204.240.0/20	Huanggang Normal University China
122.205.0.0/22	Sciences Division of Tongji Medical of HUST China
122.205.4.0/22	Sciences Division of Tongji Medical of HUST China
122.205.8.0/21	Sciences Division of Tongji Medical of HUST China
122.205.16.0/20	Sciences Division of Tongji Medical of HUST China
122.205.32.0/19	Sciences Division of Tongji Medical of HUST China
122.205.64.0/19	Huazhong Agricultural University China
122.205.96.0/21	Huazhong Agricultural University China
122.205.112.0/20	Chutian College of Huazhong Agricultural University China
122.205.128.0/20	Wuhan University of Science and Technology China
122.206.0.0/21	Jiaozuo University China
122.206.8.0/21	Jiaozuo University China
122.206.16.0/21	Jiaozuo University China
122.206.24.0/21	Jiaozuo University China
122.206.32.0/19	Henan Polytechnic University China
122.206.64.0/20	Henan Polytechnic University China
122.206.80.0/22	ZhengZhou TouRism College China
122.206.84.0/23	Huarui College of Xingyang Normal University China
122.206.88.0/22	Henan M&E Vocational Technology College China
122.206.94.0/23	Henan Chemical Industry School China
122.206.96.0/20	Henan College of Finance & Taxation China
122.206.112.0/21	Zhengzhou Vocational College of Economics and Trade China
122.206.120.0/21	Zhengzhou Vocational College of Economics and Trade China
122.206.144.0/20	Zhoukou Normal University China
122.206.160.0/19	Zhengzhou University China
122.206.192.0/19	Henan Normal University China
122.206.224.0/19	Henan Normal University China
122.207.16.0/20	Hunan University China
122.207.32.0/19	Hunan University China
122.207.64.0/18	Central South University (Changsha) China
122.207.128.0/19	Henan Polytechnic University China
122.207.160.0/19	Henan Polytechnic University China
122.207.192.0/20	Henan Polytechnic China
122.207.208.0/20	Nanyang Institute of Technology China
124.16.76.0/22	China Science & Technology Network China
124.16.84.0/22	China Science & Technology Network China
124.16.88.0/22	China Science & Technology Network China
125.216.0.0/13	Asia Pacific Network Information Centre China
125.216.0.0/15	China Education and Research Network China
125.216.0.0/16	China Education and Research Network China
125.216.0.0/22	Nanhua College of Industry and Commerce China
125.216.4.0/23	Conghua No.4 Middle School of Guangdong China
125.216.6.0/23	No.1 Primary School of Guangzhou Economic & Technological China
125.216.8.0/21	ZhongShan Polytechnic Institute China
125.216.16.0/22	CongHua Education of Guangzhou China
125.216.20.0/23	GETDD Huangbei Primary School China
125.216.22.0/24	GETDD Huocun Primary School China
125.216.23.0/24	Luogang Middle School of Guangzhou China
125.216.24.0/23	Lianhe Primary School Guangzhou Development District China
125.216.26.0/23	Guangzhou No. 91 Middle School China
125.216.28.0/23	BiGang Primary School of Guanzhou Economic and Technological China
125.216.30.0/23	NanGang Middle School OF GETDD China
125.216.32.0/23	Guangzhou No.117 Middle School China
125.216.34.0/23	Guangzhou Xinsui School China
125.216.36.0/22	Guangzhou Luogang Bureau of Education China
125.216.40.0/24	Guangzhou YuShu Primary School China
125.216.44.0/22	Zengcheng Education of Guangzhou China
125.216.52.0/23	NO.83 Middle School Of GuangZhou China
125.216.56.0/23	Guangzhou LouGang ZhenLong No. 1 Primary School China
125.216.58.0/23	Guangzhou Tianhe Region Gradd School China
125.216.60.0/24	Tianhe District Mubei Primary School of Guangzhou China
125.216.61.0/24	Foshan Polytech College China
125.216.62.0/23	Tangcun Primary School of Guangzhou China
125.216.64.0/24	Guangdong University of Foreign Studies Nanguo Business College China
125.216.65.0/24	Guangdong University of Foreign Studies Nanguo Business College China
125.216.66.0/23	Guangdong University of Foreign Studies Nanguo Business College China
125.216.80.0/20	GuangDong Literature And Art Vocational College China
125.216.96.0/23	LuoGang FuDong Primary School of Guangzhou China
125.216.100.0/22	Huashang College Guangdong University Of Business Studies China
125.216.100.0/24	Huashang College Guangdong University Of Business Studies China
125.216.104.0/24	Qingyuan Polytechnic China
125.216.105.0/24	Guangzhou Lingnan Polytechnic College China
125.216.108.0/23	Guangzhou Tianhe Yuangang Primary School China
125.216.110.0/23	Gaotangshi Primary School China
125.216.112.0/20	Guangzhou Institute of Railway Technology China
125.216.133.0/24	Si Hai Primary School of Tianhe Distrct China
125.216.134.0/24	Guang Zhou Tian He Xu Jing Primary School China
125.216.135.0/24	FengWei Primary School China
125.216.136.0/21	GuangZhou NO.47 Hui Jing Experimental School China
125.216.144.0/20	Guangzhou Auto College ,South China University of Technology China
125.216.160.0/24	Tianhe Longdong Primary School, Guangzhou China
125.216.161.0/24	JinKeng Primary School of Guangzhou China
125.216.162.0/23	No.2 Middle School Zhen Long Luogang District China
125.216.164.0/23	Zhen Long No.1 Middle School of Luo Gang District China
125.216.166.0/23	Guangzhou Huada Self-taught Exams Tutoring College China
125.216.168.0/23	Guangzhou Municipal Construction Technical School China
125.216.176.0/22	Guangzhou Pharmaceutical School China
125.216.180.0/24	Guangzhou Development District Changping primary School China
125.216.181.0/24	Yinhe Primary School of Guangzhou China
125.216.182.0/24	Jiufo Primary School of Luogang District China
125.216.183.0/24	NanFang College of Sun YAT-SEN University China
125.216.192.0/20	Guangdong Vocational College of Technology and Trade China
125.216.208.0/20	South China Normal University China
125.216.224.0/19	South China University of Technology Guangzhou University City China
125.217.0.0/16	China Education and Research Network China
125.217.0.0/24	Liuzhou Transport Vocational Technical College China
125.217.32.0/19	Guilin University Of Electronic Technology China
125.217.64.0/19	Hainan University China
125.217.96.0/20	Hainan University China
125.217.112.0/22	Hainan Vocational College of Political Science and Law China
125.217.120.0/21	Sanya City Vocational College China
125.217.128.0/23	Jiufo Middle School Luogang District China
125.217.130.0/23	GZLGD Jiufo No. 2 Middle School China
125.217.132.0/24	Yang Tian Prinary School LouGang District China
125.217.133.0/24	Dong Pu Kindergarten of Guangzhou China
125.217.134.0/23	Shahe Primary School IN Tianhe Distric China
125.217.136.0/22	Huaying Middle School China
125.217.140.0/23	Junjing Primary School China
125.217.142.0/23	Xintang Primary School China
125.217.144.0/22	GuangDong Vocational & Technnical College Of chemical China
125.217.148.0/23	HeYuan Polytechnic College China
125.217.152.0/21	Guangzhou Medical College China
125.217.160.0/20	Sun Yatsen University Guangzhou University City campus China
125.217.192.0/20	Guangdong Teachers College of Foreign language and Arts China
125.217.208.0/21	Guangdong Teachers College of Foreign language and Arts China
125.217.216.0/21	Guangdong Teachers College of Foreign language and Arts China
125.217.224.0/21	South China University Of Technology China
125.217.232.0/21	South China University Of Technology China
125.217.240.0/20	South China University Of Technology China
125.218.0.0/16	China Education and Research Network China
125.218.0.0/22	ShenZhen NanShan Bilingual School China
125.218.4.0/22	ShenZhen TongLe School China
125.218.8.0/23	ShenZhen Xili NO.2 Primary School China
125.218.10.0/23	Yucai No.2 Middle School China
125.218.12.0/24	NanShan Education Kindergarten China
125.218.13.0/24	Xuefu Primary School(Haizhu Campus) China
125.218.14.0/23	Shenzhen Nanhai Primary School China
125.218.16.0/23	Yucai NO.1 Primary School China
125.218.18.0/23	Shenzhen Dachong Primary School China
125.218.20.0/23	Gengzi Shouyi Zhongshan Commemoration School China
125.218.22.0/23	Shenzhen Yuxin School China
125.218.24.0/22	Shenzhen Senior High School China
125.218.28.0/24	Shenzhen Primary School China
125.218.30.0/23	Shezhen Yantian Foreign Languages School China
125.218.32.0/22	Shenzhen Middle School China
125.218.36.0/22	Shenzhen University Normal College Middle School China
125.218.40.0/21	Shenzhen University City China
125.218.48.0/20	Shenzhen University City China
125.218.64.0/22	Education Administration of Shenzhen Longgang County China
125.218.69.0/24	Qinglin Primary School China
125.218.70.0/24	Shenzhen Recruitment Of Students Test Office China
125.218.72.0/22	Long Cheng Junior Middle School China
125.218.76.0/22	Pinggang Middle School China
125.218.80.0/23	LongCheng Primary school China
125.218.82.0/23	Shenzhen New Asia School China
125.218.84.0/23	PingAnLi School China
125.218.86.0/23	Fuan Comprehensive School China
125.218.88.0/22	Luogang Experimental School China
125.218.92.0/23	LongTian Primary School China
125.218.94.0/23	XiKeng Primary School China
125.218.96.0/23	SiLian Primary School China
125.218.98.0/23	LiuYue Primary School China
125.218.100.0/23	HeAo Primary School China
125.218.102.0/23	DaKang Primary School China
125.218.104.0/23	BaoAn Primary School China
125.218.106.0/23	AnLiang Primary School China
125.218.108.0/23	ShuiJing Primary School China
125.218.110.0/23	MuMianWan Primary School China
125.218.112.0/23	XueXiang Primary School China
125.218.114.0/23	BaoGang Primary School China
125.218.116.0/23	BaGuang Primary School China
125.218.118.0/23	XiYong Primary School China
125.218.120.0/23	AiLian Primary School China
125.218.122.0/23	LongXi Primary School China
125.218.124.0/23	ShengPing Primary School China
125.218.126.0/23	Jintian Primary School China
125.218.128.0/21	Guandzhou Tieyi Middle School China
125.218.136.0/22	Guandzhou Xiehe High School China
125.218.140.0/23	Yu Shatan Primary School of Guangzhou China
125.218.142.0/24	ZhongHai KangCheng Primary School China
125.218.143.0/24	LongGang Road Primary School China
125.218.144.0/20	GuangZhou Architecture Engineering School China
125.218.160.0/20	Huizhou University China
125.218.176.0/23	Hua Yang Primary School China
125.218.178.0/23	Tiyuxilu Primary School in Tianhe China
125.218.180.0/24	Tianfulu Primary School China
125.218.182.0/23	Guangzhou High School of Fine Arts China
125.218.184.0/24	Kemulang Primary School of Guangzhou China
125.218.185.0/24	Lingtang Parmary school of Guangzhou China
125.218.186.0/23	The 2nd Campus of Longkouxi Primary School in Guangzhou China
125.218.188.0/24	Yuancun No. 6 Primary School of Guangzhou China
125.218.189.0/24	Xianchun primary school in Guangzhou China
125.218.190.0/24	China Education and Research Network China
125.218.192.0/19	Jinan University China
125.218.224.0/20	Guangdong University of Business Studies China
125.219.0.0/19	Xinxiang Medical College China
125.219.32.0/20	Henan University China
125.219.48.0/20	Zhengzhou Economic Management Institute China
125.219.64.0/19	North China University of Water Conservancy and Electric Power China
125.219.96.0/22	Zhengzhou Electronic Information & vocational Technical College China
125.219.100.0/22	Nanyang Medical College China
125.219.104.0/21	Jiyuan Vocational and Technical College China
125.219.108.0/22	Jiyuan Vocational and Technical College China
125.219.112.0/22	Henan Poly-technic Institute China
125.219.116.0/22	Xinyang Vocational and Technical College China
125.219.120.0/22	ZhengZhou JiaoTong University China
125.219.124.0/22	Henan Communication Vocational Technology College China
125.219.128.0/22	Luohe Medical College China
125.219.132.0/22	Yongcheng Vocational College China
125.219.136.0/22	Railway Police Institute China
125.219.140.0/22	ShangQiu Science & Technology Career College China
125.219.144.0/22	Shang Qiu Vocational and Technical College China
125.219.148.0/23	Henan Economy and Trade Vocational College China
125.219.150.0/23	Zhengzhou Teacher College China
125.219.152.0/23	The College of Henan Procuratorial Profession China
125.219.154.0/23	HeNan Quality Engineering College China
125.219.158.0/23	University For Science & Technology ZhenZhou China
125.219.160.0/23	Sanmenxia Polytechnic College China
125.219.164.0/23	Henan Industry & Trade Vocational College China
125.219.166.0/23	Songshan Shaolin Wushu Vocational Instivte China
125.219.168.0/22	ZhengZhou HuaXin College China
125.219.172.0/22	Henan Vocational College Of Agriculture China
125.219.176.0/20	Zhongyuan Institute of Technology China
125.219.192.0/20	Zhengzhou College Of Animal Husbandry Engineering China
125.220.0.0/19	Wuhan University of Science and Engineering China
125.220.48.0/20	Donghu College of Wuhan University China
125.220.48.0/24	Donghu College of Wuhan University China
125.220.64.0/19	Hubei College of Education China
125.220.96.0/20	Wuhan Polytechnic University China
125.220.120.0/23	WuHan Railway Vocational Technological College China
125.220.121.0/24	WuHan Railway Vocational Technological College China
125.220.124.0/23	Hubei Vocational Technical College China
125.220.126.0/23	Wuhan College Of Industrial Technology China
125.220.128.0/19	Information Sciences Division of Wuhan University China
125.220.160.0/23	Wuhan Institute of Technology China
125.220.162.0/23	Wuhan University Science and Technology Zhongnan Branch China
125.220.163.0/24	Wuhan University Science and Technology Zhongnan Branch China
125.220.166.0/23	Hubei Urban Construction Vocational and Technology College China
125.220.176.0/23	Shiyan Technical Institute China
125.220.176.0/24	China
125.220.178.0/23	Wuhan Social Work Professinal College China
125.220.182.0/23	Wuhan Bioengineering Institute China
125.220.184.0/21	Central China Normal University Wuhan Movie Engineering College China
125.220.192.0/18	Hubei University Of Technology China
125.221.2.0/23	Wuhan Conservatory of Music China
125.221.2.0/24	Wuhan Conservatory of Music China
125.221.10.0/23	Hubei Three Gorges Vocational And Technical College China
125.221.16.0/22	Huanggang Polytechnic College China
125.221.16.0/24	Huanggang Polytechnic College China
125.221.20.0/23	Wuhan Vocational College Of Information Transmission China
125.221.32.0/21	Wuhan Software Vocational College China
125.221.35.0/24	Wuhan Software Vocational College China
125.221.40.0/23	Three Gorges Vocational College Of Electric Power China
125.221.40.0/24	Three Gorges Vocational College Of Electric Power China
125.221.41.0/24	Three Gorges Vocational College Of Electric Power China
125.221.42.0/23	Hubei Art College China
125.221.44.0/23	Xianning Vocational Technical College China
125.221.44.0/24	Xianning Vocational Technical College China
125.221.48.0/20	Wuhan College Of Industrial Technology China
125.221.64.0/19	Hubei College of Traditional Chinese Medicine China
125.221.95.0/24	Hubei College of Traditional Chinese Medicine China
125.221.96.0/20	Hubei University of Economics China
125.221.112.0/20	Hubei University of Economics China
125.221.128.0/22	Shaoyang University China
125.221.160.0/19	Hunan University China
125.221.192.0/20	Hunan First Normal College China
125.221.192.0/21	Hunan First Normal College China
125.221.200.0/23	Hunan First Normal College China
125.221.208.0/21	Hunan First Normal College China
125.221.224.0/20	Hunan University of Science and Technology China
125.221.240.0/23	Zhangjiajie Aeronautical Engineering Vocational And Technical China
125.221.244.0/23	Hunan International Economics University China
125.221.252.0/23	Hunan Women's Vocational University China
125.222.0.0/20	Dalian University of Foreign Languages China
125.222.48.0/22	ShenYang Polytechnic College China
125.222.52.0/22	Wenli College Of Bohai University China
125.222.57.0/24	Liao Ning Commerce and trade Vocational College China
125.222.64.0/19	Liaoning University China
125.222.96.0/22	Panjin Vocational and Technical college China
125.222.104.0/22	Liaoning Petrochemical Vocational and Technology College China
125.222.108.0/24	Shenyang Medical College China
125.222.128.0/20	Dalian Institute Of Light Industry China
125.222.144.0/22	Dalian Jiaotong University Information Engineering China
125.222.148.0/22	Dalian University China
125.222.152.0/21	Dalian Art Vocational College China
125.222.160.0/20	Dalian Software College China
125.222.176.0/20	Neusoft Institute Of Information Technology China
125.222.192.0/19	Northeast Normal University China
125.222.224.0/21	Jilin College Of The Arts China
125.222.232.0/21	Jilin Business And Technology College China
125.222.240.0/22	College of Humanities & Changchun University of Technology China
125.222.244.0/22	The Information & Economy College of Changchun Taxation China
125.222.246.0/23	The Information & Economy College of Changchun Taxation China
125.222.248.0/22	JiLin Commercial College China
